Id	Code	Province	County	City
79	99611	AK	Kenai Peninsula	Kenai
80	99612	AK	Aleutians East	King Cove
81	99613	AK	Bristol Bay	King Salmon
82	99614	AK	Bethel	Kipnuk
83	99615	AK	Kodiak Island	Kodiak
84	99619	AK	Kodiak Island	Kodiak
85	99620	AK	Wade Hampton	Kotlik
86	99621	AK	Bethel	Kwethluk
87	99622	AK	Bethel	Kwigillingok
88	99624	AK	Kodiak Island	Larsen Bay
89	99625	AK	Lake And Peninsula	Levelock
90	99626	AK	Bethel	Lower Kalskag
91	99627	AK	Yukon Koyukuk	McGrath
92	99628	AK	Dillingham	Manokotak
93	99629	AK	Matanuska Susitna	Wasilla
94	99630	AK	Bethel	Mekoryuk
95	99631	AK	Kenai Peninsula	Moose Pass
96	99632	AK	Wade Hampton	Mountain Village
97	99633	AK	Bristol Bay	Naknek
98	99634	AK	Bethel	Napakiak
99	99635	AK	Kenai Peninsula	Nikiski
100	99636	AK	Dillingham	New Stuyahok
101	99637	AK	Bethel	Toksook Bay
102	99638	AK	Aleutians West	Nikolski
103	99639	AK	Kenai Peninsula	Ninilchik
104	99640	AK	Lake And Peninsula	Nondalton
105	99641	AK	Bethel	Nunapitchuk
106	99643	AK	Kodiak Island	Old Harbor
107	99644	AK	Kodiak Island	Ouzinkie
108	99645	AK	Matanuska Susitna	Palmer
109	99647	AK	Lake And Peninsula	Pedro Bay
110	99648	AK	Lake And Peninsula	Perryville
111	99649	AK	Lake And Peninsula	Pilot Point
112	99650	AK	Wade Hampton	Pilot Station
113	99651	AK	Bethel	Platinum
114	99652	AK	Matanuska Susitna	Big Lake
115	99653	AK	Lake And Peninsula	Port Alsworth
116	99654	AK	Matanuska Susitna	Wasilla
117	99655	AK	Bethel	Quinhagak
118	99656	AK	Bethel	Red Devil
119	99657	AK	Wade Hampton	Russian Mission
120	99658	AK	Wade Hampton	Saint Marys
121	99659	AK	Nome	Saint Michael
122	99660	AK	Aleutians West	Saint Paul Island
123	99661	AK	Aleutians East	Sand Point
124	99662	AK	Wade Hampton	Scammon Bay
125	99663	AK	Kenai Peninsula	Seldovia
126	99664	AK	Kenai Peninsula	Seward
127	99665	AK	Yukon Koyukuk	Shageluk
128	99666	AK	Wade Hampton	Nunam Iqua
129	99667	AK	Matanuska Susitna	Skwentna
130	99668	AK	Bethel	Sleetmute
131	99669	AK	Kenai Peninsula	Soldotna
132	99670	AK	Bristol Bay	South Naknek
133	99671	AK	Nome	Stebbins
134	99672	AK	Kenai Peninsula	Sterling
135	99674	AK	Matanuska Susitna	Sutton
136	99675	AK	Yukon Koyukuk	Takotna
137	99676	AK	Matanuska Susitna	Talkeetna
138	99677	AK	Valdez Cordova	Tatitlek
139	99678	AK	Dillingham	Togiak
140	99679	AK	Bethel	Tuluksak
141	99680	AK	Bethel	Tuntutuliak
142	99681	AK	Bethel	Tununak
143	99682	AK	Kenai Peninsula	Tyonek
144	99683	AK	Matanuska Susitna	Trapper Creek
145	99684	AK	Nome	Unalakleet
146	99685	AK	Aleutians West	Unalaska
147	99686	AK	Valdez Cordova	Valdez
148	99687	AK	Matanuska Susitna	Wasilla
149	99688	AK	Matanuska Susitna	Willow
150	99689	AK	Yakutat	Yakutat
151	99690	AK	Bethel	Nightmute
152	99691	AK	Yukon Koyukuk	Nikolai
153	99692	AK	Aleutians West	Dutch Harbor
154	99693	AK	Valdez Cordova	Whittier
155	99694	AK	Matanuska Susitna	Houston
156	99695	AK	Anchorage	Anchorage
157	99697	AK	Kodiak Island	Kodiak
158	99701	AK	Fairbanks North Star	Fairbanks
159	99702	AK	Fairbanks North Star	Eielson AFB
160	99703	AK	Fairbanks North Star	Fort Wainwright
161	99704	AK	Denali	Clear
162	99705	AK	Fairbanks North Star	North Pole
163	99706	AK	Fairbanks North Star	Fairbanks
164	99707	AK	Fairbanks North Star	Fairbanks
165	99708	AK	Fairbanks North Star	Fairbanks
166	99709	AK	Fairbanks North Star	Fairbanks
167	99710	AK	Fairbanks North Star	Fairbanks
168	99711	AK	Fairbanks North Star	Fairbanks
169	99712	AK	Fairbanks North Star	Fairbanks
170	99714	AK	Fairbanks North Star	Salcha
171	99716	AK	Fairbanks North Star	Two Rivers
172	99720	AK	Yukon Koyukuk	Allakaket
173	99721	AK	North Slope	Anaktuvuk Pass
174	99722	AK	Yukon Koyukuk	Arctic Village
175	99723	AK	North Slope	Barrow
176	99724	AK	Yukon Koyukuk	Beaver
177	99725	AK	Fairbanks North Star	Ester
178	99726	AK	Yukon Koyukuk	Bettles Field
179	99727	AK	Northwest Arctic	Buckland
180	99729	AK	Denali	Cantwell
181	99730	AK	Yukon Koyukuk	Central
182	99731	AK	Southeast Fairbanks	Fort Greely
183	99732	AK	Southeast Fairbanks	Chicken
184	99733	AK	Yukon Koyukuk	Circle
185	99734	AK	North Slope	Prudhoe Bay
186	99736	AK	Northwest Arctic	Deering
187	99737	AK	Southeast Fairbanks	Delta Junction
188	99738	AK	Southeast Fairbanks	Eagle
189	99739	AK	Nome	Elim
190	99740	AK	Yukon Koyukuk	Fort Yukon
191	99741	AK	Yukon Koyukuk	Galena
192	99742	AK	Nome	Gambell
193	99743	AK	Denali	Healy
194	99744	AK	Denali	Anderson
195	99745	AK	Yukon Koyukuk	Hughes
196	99746	AK	Yukon Koyukuk	Huslia
197	99747	AK	North Slope	Kaktovik
198	99748	AK	Yukon Koyukuk	Kaltag
199	99749	AK	Northwest Arctic	Kiana
200	99750	AK	Northwest Arctic	Kivalina
201	99751	AK	Northwest Arctic	Kobuk
202	99752	AK	Northwest Arctic	Kotzebue
203	99753	AK	Nome	Koyuk
204	99754	AK	Yukon Koyukuk	Koyukuk
205	99755	AK	Denali	Denali National Park
206	99756	AK	Yukon Koyukuk	Manley Hot Springs
207	99757	AK	Yukon Koyukuk	Lake Minchumina
208	99758	AK	Yukon Koyukuk	Minto
209	99759	AK	North Slope	Point Lay
210	99760	AK	Yukon Koyukuk	Nenana
211	99761	AK	Northwest Arctic	Noatak
212	99762	AK	Nome	Nome
213	99763	AK	Northwest Arctic	Noorvik
214	99764	AK	Southeast Fairbanks	Northway
215	99765	AK	Yukon Koyukuk	Nulato
216	99766	AK	North Slope	Point Hope
217	99767	AK	Yukon Koyukuk	Rampart
218	99768	AK	Yukon Koyukuk	Ruby
219	99769	AK	Nome	Savoonga
220	99770	AK	Northwest Arctic	Selawik
221	99771	AK	Nome	Shaktoolik
222	99772	AK	Nome	Shishmaref
223	99773	AK	Northwest Arctic	Shungnak
224	99774	AK	Yukon Koyukuk	Stevens Village
225	99775	AK	Fairbanks North Star	Fairbanks
226	99776	AK	Southeast Fairbanks	Tanacross
227	99777	AK	Yukon Koyukuk	Tanana
228	99778	AK	Nome	Teller
229	99779	AK	Southeast Fairbanks	Tok
230	99780	AK	Southeast Fairbanks	Tok
231	99781	AK	Yukon Koyukuk	Venetie
232	99782	AK	North Slope	Wainwright
233	99783	AK	Nome	Wales
234	99784	AK	Nome	White Mountain
235	99785	AK	Nome	Brevig Mission
236	99786	AK	Northwest Arctic	Ambler
237	99788	AK	Yukon Koyukuk	Chalkyitsik
238	99789	AK	North Slope	Nuiqsut
239	99790	AK	Fairbanks North Star	Fairbanks
240	99791	AK	North Slope	Atqasuk
241	99801	AK	Juneau	Juneau
242	99802	AK	Juneau	Juneau
243	99803	AK	Juneau	Juneau
244	99811	AK	Juneau	Juneau
245	99812	AK	Juneau	Juneau
246	99820	AK	Skagway Hoonah Angoon	Angoon
247	99821	AK	Juneau	Auke Bay
248	99824	AK	Juneau	Douglas
249	99825	AK	Skagway Hoonah Angoon	Elfin Cove
250	99826	AK	Skagway Hoonah Angoon	Gustavus
251	99827	AK	Haines	Haines
252	99829	AK	Skagway Hoonah Angoon	Hoonah
253	99830	AK	Wrangell Petersburg	Kake
254	99832	AK	Skagway Hoonah Angoon	Pelican
255	99833	AK	Wrangell Petersburg	Petersburg
256	99835	AK	Sitka	Sitka
257	99836	AK	Wrangell Petersburg	Port Alexander
258	99840	AK	Skagway Hoonah Angoon	Skagway
259	99841	AK	Skagway Hoonah Angoon	Tenakee Springs
260	99850	AK	Juneau	Juneau
261	99901	AK	Ketchikan Gateway	Ketchikan
262	99903	AK	Prince Wales Ketchikan	Meyers Chuck
263	99918	AK	Prince Wales Ketchikan	Coffman Cove
264	99919	AK	Prince Wales Ketchikan	Thorne Bay
265	99921	AK	Prince Wales Ketchikan	Craig
266	99922	AK	Prince Wales Ketchikan	Hydaburg
267	99923	AK	Prince Wales Ketchikan	Hyder
268	99925	AK	Prince Wales Ketchikan	Klawock
269	99926	AK	Prince Wales Ketchikan	Metlakatla
270	99927	AK	Prince Wales Ketchikan	Point Baker
271	99928	AK	Ketchikan Gateway	Ward Cove
272	99929	AK	Wrangell Petersburg	Wrangell
273	99950	AK	Ketchikan Gateway	Ketchikan
274	35004	AL	Saint Clair	Moody
275	35005	AL	Jefferson	Adamsville
276	35006	AL	Jefferson	Adger
277	35007	AL	Shelby	Alabaster
278	35010	AL	Tallapoosa	Alexander City
279	35011	AL	Tallapoosa	Alexander City
280	35013	AL	Blount	Allgood
281	35014	AL	Talladega	Alpine
282	35015	AL	Jefferson	Alton
283	35016	AL	Marshall	Arab
284	35019	AL	Cullman	Baileyton
285	35020	AL	Jefferson	Bessemer
286	35021	AL	Jefferson	Bessemer
287	35022	AL	Jefferson	Bessemer
288	35023	AL	Jefferson	Bessemer
289	35031	AL	Blount	Blountsville
290	35032	AL	Talladega	Bon Air
291	35033	AL	Cullman	Bremen
292	35034	AL	Bibb	Brent
293	35035	AL	Bibb	Brierfield
294	35036	AL	Jefferson	Brookside
295	35038	AL	Walker	Burnwell
296	35040	AL	Shelby	Calera
297	35041	AL	Jefferson	Cardiff
298	35042	AL	Bibb	Centreville
299	35043	AL	Shelby	Chelsea
300	35044	AL	Talladega	Childersburg
301	35045	AL	Chilton	Clanton
302	35046	AL	Chilton	Clanton
303	35048	AL	Jefferson	Clay
304	35049	AL	Blount	Cleveland
305	35051	AL	Shelby	Columbiana
306	35052	AL	Saint Clair	Cook Springs
307	35053	AL	Cullman	Crane Hill
308	35054	AL	Saint Clair	Cropwell
309	35055	AL	Cullman	Cullman
310	35056	AL	Cullman	Cullman
311	35057	AL	Cullman	Cullman
312	35058	AL	Cullman	Cullman
313	35060	AL	Jefferson	Docena
314	35061	AL	Jefferson	Dolomite
315	35062	AL	Jefferson	Dora
316	35063	AL	Walker	Empire
317	35064	AL	Jefferson	Fairfield
318	35068	AL	Jefferson	Fultondale
319	35070	AL	Cullman	Garden City
320	35071	AL	Jefferson	Gardendale
321	35072	AL	Coosa	Goodwater
322	35073	AL	Jefferson	Graysville
323	35074	AL	Bibb	Green Pond
324	35077	AL	Cullman	Hanceville
325	35078	AL	Shelby	Harpersville
326	35079	AL	Blount	Hayden
327	35080	AL	Shelby	Helena
328	35082	AL	Clay	Hollins
329	35083	AL	Cullman	Holly Pond
330	35085	AL	Chilton	Jemison
331	35087	AL	Cullman	Joppa
332	35089	AL	Coosa	Kellyton
333	35091	AL	Jefferson	Kimberly
334	35094	AL	Jefferson	Leeds
335	35096	AL	Talladega	Lincoln
336	35097	AL	Blount	Locust Fork
337	35098	AL	Cullman	Logan
338	35111	AL	Jefferson	McCalla
339	35112	AL	Saint Clair	Margaret
340	35114	AL	Shelby	Maylene
341	35115	AL	Shelby	Montevallo
342	35116	AL	Jefferson	Morris
343	35117	AL	Jefferson	Mount Olive
344	35118	AL	Jefferson	Mulga
345	35119	AL	Jefferson	New Castle
346	35120	AL	Saint Clair	Odenville
347	35121	AL	Blount	Oneonta
348	35123	AL	Jefferson	Palmerdale
349	35124	AL	Shelby	Pelham
350	35125	AL	Saint Clair	Pell City
351	35126	AL	Jefferson	Pinson
352	35127	AL	Jefferson	Pleasant Grove
353	35128	AL	Saint Clair	Pell City
354	35130	AL	Walker	Quinton
355	35131	AL	Saint Clair	Ragland
356	35133	AL	Blount	Remlap
357	35135	AL	Saint Clair	Riverside
358	35136	AL	Coosa	Rockford
359	35137	AL	Shelby	Saginaw
360	35139	AL	Jefferson	Sayre
361	35142	AL	Jefferson	Shannon
362	35143	AL	Shelby	Shelby
363	35144	AL	Shelby	Siluria
364	35146	AL	Saint Clair	Springville
365	35147	AL	Shelby	Sterrett
366	35148	AL	Walker	Sumiton
367	35149	AL	Talladega	Sycamore
368	35150	AL	Talladega	Sylacauga
369	35151	AL	Talladega	Sylacauga
370	35160	AL	Talladega	Talladega
371	35161	AL	Talladega	Talladega
372	35171	AL	Chilton	Thorsby
373	35172	AL	Jefferson	Trafford
374	35173	AL	Jefferson	Trussville
375	35175	AL	Marshall	Union Grove
376	35176	AL	Shelby	Vandiver
377	35178	AL	Shelby	Vincent
378	35179	AL	Cullman	Vinemont
379	35180	AL	Jefferson	Warrior
380	35181	AL	Jefferson	Watson
381	35182	AL	Saint Clair	Wattsville
382	35183	AL	Coosa	Weogufka
383	35184	AL	Bibb	West Blocton
384	35185	AL	Shelby	Westover
385	35186	AL	Shelby	Wilsonville
386	35187	AL	Shelby	Wilton
387	35188	AL	Bibb	Woodstock
388	35201	AL	Jefferson	Birmingham
389	35202	AL	Jefferson	Birmingham
390	35203	AL	Jefferson	Birmingham
391	35204	AL	Jefferson	Birmingham
392	35205	AL	Jefferson	Birmingham
393	35206	AL	Jefferson	Birmingham
394	35207	AL	Jefferson	Birmingham
395	35208	AL	Jefferson	Birmingham
396	35209	AL	Jefferson	Birmingham
397	35210	AL	Jefferson	Birmingham
398	35211	AL	Jefferson	Birmingham
399	35212	AL	Jefferson	Birmingham
400	35213	AL	Jefferson	Birmingham
401	35214	AL	Jefferson	Birmingham
402	35215	AL	Jefferson	Birmingham
403	35216	AL	Jefferson	Birmingham
404	35217	AL	Jefferson	Birmingham
405	35218	AL	Jefferson	Birmingham
406	35219	AL	Jefferson	Birmingham
407	35220	AL	Jefferson	Birmingham
408	35221	AL	Jefferson	Birmingham
409	35222	AL	Jefferson	Birmingham
410	35223	AL	Jefferson	Birmingham
411	35224	AL	Jefferson	Birmingham
412	35225	AL	Jefferson	Birmingham
413	35226	AL	Jefferson	Birmingham
414	35228	AL	Jefferson	Birmingham
415	35229	AL	Jefferson	Birmingham
416	35230	AL	Jefferson	Birmingham
417	35231	AL	Jefferson	Birmingham
418	35232	AL	Jefferson	Birmingham
419	35233	AL	Jefferson	Birmingham
420	35234	AL	Jefferson	Birmingham
421	35235	AL	Jefferson	Birmingham
422	35236	AL	Jefferson	Birmingham
423	35237	AL	Jefferson	Birmingham
424	35238	AL	Jefferson	Birmingham
425	35240	AL	Jefferson	Birmingham
426	35242	AL	Shelby	Birmingham
427	35243	AL	Jefferson	Birmingham
428	35244	AL	Jefferson	Birmingham
429	35245	AL	Jefferson	Birmingham
430	35246	AL	Jefferson	Birmingham
431	35249	AL	Jefferson	Birmingham
432	35253	AL	Jefferson	Birmingham
433	35254	AL	Jefferson	Birmingham
434	35255	AL	Jefferson	Birmingham
435	35259	AL	Jefferson	Birmingham
436	35260	AL	Jefferson	Birmingham
437	35261	AL	Jefferson	Birmingham
438	35263	AL	Jefferson	Birmingham
439	35266	AL	Jefferson	Birmingham
440	35277	AL	Jefferson	Birmingham
441	35278	AL	Jefferson	Birmingham
442	35279	AL	Jefferson	Birmingham
443	35280	AL	Jefferson	Birmingham
444	35281	AL	Jefferson	Birmingham
445	35282	AL	Jefferson	Birmingham
446	35283	AL	Jefferson	Birmingham
447	35285	AL	Jefferson	Birmingham
448	35286	AL	Jefferson	Birmingham
449	35287	AL	Jefferson	Birmingham
450	35288	AL	Jefferson	Birmingham
451	35289	AL	Jefferson	Birmingham
452	35290	AL	Jefferson	Birmingham
453	35291	AL	Jefferson	Birmingham
454	35292	AL	Jefferson	Birmingham
455	35293	AL	Jefferson	Birmingham
456	35294	AL	Jefferson	Birmingham
457	35295	AL	Jefferson	Birmingham
458	35296	AL	Jefferson	Birmingham
459	35297	AL	Jefferson	Birmingham
460	35298	AL	Jefferson	Birmingham
461	35299	AL	Jefferson	Birmingham
462	35401	AL	Tuscaloosa	Tuscaloosa
463	35402	AL	Tuscaloosa	Tuscaloosa
464	35403	AL	Tuscaloosa	Tuscaloosa
465	35404	AL	Tuscaloosa	Tuscaloosa
466	35405	AL	Tuscaloosa	Tuscaloosa
467	35406	AL	Tuscaloosa	Tuscaloosa
468	35407	AL	Tuscaloosa	Tuscaloosa
469	35440	AL	Tuscaloosa	Abernant
470	35441	AL	Hale	Akron
471	35442	AL	Pickens	Aliceville
472	35443	AL	Greene	Boligee
473	35444	AL	Tuscaloosa	Brookwood
474	35446	AL	Tuscaloosa	Buhl
475	35447	AL	Pickens	Carrollton
476	35448	AL	Greene	Clinton
477	35449	AL	Tuscaloosa	Coaling
478	35452	AL	Tuscaloosa	Coker
479	35453	AL	Tuscaloosa	Cottondale
480	35456	AL	Tuscaloosa	Duncanville
481	35457	AL	Tuscaloosa	Echola
482	35458	AL	Tuscaloosa	Elrod
483	35459	AL	Sumter	Emelle
484	35460	AL	Sumter	Epes
485	35461	AL	Pickens	Ethelsville
486	35462	AL	Greene	Eutaw
487	35463	AL	Tuscaloosa	Fosters
488	35464	AL	Sumter	Gainesville
489	35466	AL	Pickens	Gordo
490	35468	AL	Tuscaloosa	Kellerman
491	35469	AL	Greene	Knoxville
492	35470	AL	Sumter	Livingston
493	35471	AL	Pickens	McShan
494	35473	AL	Tuscaloosa	Northport
495	35474	AL	Hale	Moundville
496	35475	AL	Tuscaloosa	Northport
497	35476	AL	Tuscaloosa	Northport
498	35477	AL	Sumter	Panola
499	35478	AL	Tuscaloosa	Peterson
500	35480	AL	Tuscaloosa	Ralph
501	35481	AL	Pickens	Reform
502	35482	AL	Tuscaloosa	Samantha
503	35485	AL	Tuscaloosa	Tuscaloosa
504	35486	AL	Tuscaloosa	Tuscaloosa
505	35487	AL	Tuscaloosa	Tuscaloosa
506	35490	AL	Tuscaloosa	Vance
507	35491	AL	Greene	West Greene
508	35501	AL	Walker	Jasper
509	35502	AL	Walker	Jasper
510	35503	AL	Walker	Jasper
511	35504	AL	Walker	Jasper
512	35540	AL	Winston	Addison
513	35541	AL	Winston	Arley
514	35542	AL	Fayette	Bankston
515	35543	AL	Marion	Bear Creek
516	35544	AL	Lamar	Beaverton
517	35545	AL	Fayette	Belk
518	35546	AL	Fayette	Berry
519	35548	AL	Marion	Brilliant
520	35549	AL	Walker	Carbon Hill
521	35550	AL	Walker	Cordova
522	35551	AL	Winston	Delmar
523	35552	AL	Lamar	Detroit
524	35553	AL	Winston	Double Springs
525	35554	AL	Walker	Eldridge
526	35555	AL	Fayette	Fayette
527	35559	AL	Fayette	Glen Allen
528	35560	AL	Walker	Goodsprings
529	35563	AL	Marion	Guin
530	35564	AL	Marion	Hackleburg
531	35565	AL	Winston	Haleyville
532	35570	AL	Marion	Hamilton
533	35571	AL	Franklin	Hodges
534	35572	AL	Winston	Houston
535	35573	AL	Walker	Kansas
536	35574	AL	Lamar	Kennedy
537	35575	AL	Winston	Lynn
538	35576	AL	Lamar	Millport
539	35577	AL	Winston	Natural Bridge
540	35578	AL	Walker	Nauvoo
541	35579	AL	Walker	Oakman
542	35580	AL	Walker	Parrish
543	35581	AL	Franklin	Phil Campbell
544	35582	AL	Franklin	Red Bay
545	35584	AL	Walker	Sipsey
546	35585	AL	Franklin	Spruce Pine
547	35586	AL	Lamar	Sulligent
548	35587	AL	Walker	Townley
549	35592	AL	Lamar	Vernon
550	35593	AL	Franklin	Vina
551	35594	AL	Marion	Winfield
552	35601	AL	Morgan	Decatur
553	35602	AL	Morgan	Decatur
554	35603	AL	Morgan	Decatur
555	35609	AL	Morgan	Decatur
556	35610	AL	Lauderdale	Anderson
557	35611	AL	Limestone	Athens
558	35612	AL	Limestone	Athens
559	35613	AL	Limestone	Athens
560	35614	AL	Limestone	Athens
561	35615	AL	Limestone	Belle Mina
562	35616	AL	Colbert	Cherokee
563	35617	AL	Lauderdale	Cloverdale
564	35618	AL	Lawrence	Courtland
565	35619	AL	Morgan	Danville
566	35620	AL	Limestone	Elkmont
567	35621	AL	Morgan	Eva
568	35622	AL	Morgan	Falkville
569	35630	AL	Lauderdale	Florence
570	35631	AL	Lauderdale	Florence
571	35632	AL	Lauderdale	Florence
572	35633	AL	Lauderdale	Florence
573	35634	AL	Lauderdale	Florence
574	35640	AL	Morgan	Hartselle
575	35643	AL	Lawrence	Hillsboro
576	35645	AL	Lauderdale	Killen
577	35646	AL	Colbert	Leighton
578	35647	AL	Limestone	Lester
579	35648	AL	Lauderdale	Lexington
580	35649	AL	Limestone	Mooresville
581	35650	AL	Lawrence	Moulton
582	35651	AL	Lawrence	Mount Hope
583	35652	AL	Lauderdale	Rogersville
584	35653	AL	Franklin	Russellville
585	35654	AL	Franklin	Russellville
586	35660	AL	Colbert	Sheffield
587	35661	AL	Colbert	Muscle Shoals
588	35662	AL	Colbert	Muscle Shoals
589	35670	AL	Morgan	Somerville
590	35671	AL	Limestone	Tanner
591	35672	AL	Lawrence	Town Creek
592	35673	AL	Morgan	Trinity
593	35674	AL	Colbert	Tuscumbia
594	35677	AL	Lauderdale	Waterloo
595	35699	AL	Morgan	Decatur
596	35739	AL	Limestone	Ardmore
597	35740	AL	Jackson	Bridgeport
598	35741	AL	Madison	Brownsboro
599	35742	AL	Limestone	Capshaw
600	35744	AL	Jackson	Dutton
601	35745	AL	Jackson	Estillfork
602	35746	AL	Jackson	Fackler
603	35747	AL	Marshall	Grant
604	35748	AL	Madison	Gurley
605	35749	AL	Madison	Harvest
606	35750	AL	Madison	Hazel Green
607	35751	AL	Jackson	Hollytree
608	35752	AL	Jackson	Hollywood
609	35754	AL	Morgan	Laceys Spring
610	35755	AL	Jackson	Langston
611	35756	AL	Limestone	Madison
612	35757	AL	Madison	Madison
613	35758	AL	Madison	Madison
614	35759	AL	Madison	Meridianville
615	35760	AL	Madison	New Hope
616	35761	AL	Madison	New Market
617	35762	AL	Madison	Normal
618	35763	AL	Madison	Owens Cross Roads
619	35764	AL	Jackson	Paint Rock
620	35765	AL	Jackson	Pisgah
621	35766	AL	Jackson	Princeton
622	35767	AL	Madison	Ryland
623	35768	AL	Jackson	Scottsboro
624	35769	AL	Jackson	Scottsboro
625	35771	AL	Jackson	Section
626	35772	AL	Jackson	Stevenson
627	35773	AL	Madison	Toney
628	35774	AL	Jackson	Trenton
629	35775	AL	Morgan	Valhermoso Springs
630	35776	AL	Jackson	Woodville
631	35801	AL	Madison	Huntsville
632	35802	AL	Madison	Huntsville
633	35803	AL	Madison	Huntsville
634	35804	AL	Madison	Huntsville
635	35805	AL	Madison	Huntsville
636	35806	AL	Madison	Huntsville
637	35807	AL	Madison	Huntsville
638	35808	AL	Madison	Huntsville
639	35809	AL	Madison	Huntsville
640	35810	AL	Madison	Huntsville
641	35811	AL	Madison	Huntsville
642	35812	AL	Madison	Huntsville
643	35813	AL	Madison	Huntsville
644	35814	AL	Madison	Huntsville
645	35815	AL	Madison	Huntsville
646	35816	AL	Madison	Huntsville
647	35824	AL	Madison	Huntsville
648	35893	AL	Madison	Huntsville
649	35894	AL	Madison	Huntsville
650	35895	AL	Madison	Huntsville
651	35896	AL	Madison	Huntsville
652	35897	AL	Madison	Huntsville
653	35898	AL	Madison	Huntsville
654	35899	AL	Madison	Huntsville
655	35901	AL	Etowah	Gadsden
656	35902	AL	Etowah	Gadsden
657	35903	AL	Etowah	Gadsden
658	35904	AL	Etowah	Gadsden
659	35905	AL	Etowah	Gadsden
660	35906	AL	Etowah	Gadsden
661	35907	AL	Etowah	Gadsden
662	35950	AL	Marshall	Albertville
663	35951	AL	Marshall	Albertville
664	35952	AL	Etowah	Altoona
665	35953	AL	Saint Clair	Ashville
666	35954	AL	Etowah	Attalla
667	35956	AL	Etowah	Boaz
668	35957	AL	Marshall	Boaz
669	35958	AL	Jackson	Bryant
670	35959	AL	Cherokee	Cedar Bluff
671	35960	AL	Cherokee	Centre
672	35961	AL	De Kalb	Collinsville
673	35962	AL	De Kalb	Crossville
674	35963	AL	De Kalb	Dawson
675	35964	AL	Marshall	Douglas
676	35966	AL	Jackson	Flat Rock
677	35967	AL	De Kalb	Fort Payne
678	35968	AL	De Kalb	Fort Payne
679	35971	AL	De Kalb	Fyffe
680	35972	AL	Etowah	Gallant
681	35973	AL	Cherokee	Gaylesville
682	35974	AL	De Kalb	Geraldine
683	35975	AL	De Kalb	Groveoak
684	35976	AL	Marshall	Guntersville
